epsilon,confidence_level,shots,grover_calls,VaR_theoretical,VaR_predicted,mu,sigma,alpha_iqae
0.1,0.99,4096,6144,-0.3082677165354331,-0.3177165354330709,0.15,0.2,0.01
0.075,0.99,4096,6144,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.05,0.99,4096,6144,-0.3082677165354331,-0.3177165354330709,0.15,0.2,0.01
0.025,0.99,4096,4096,-0.3082677165354331,-0.3177165354330709,0.15,0.2,0.01
0.0125,0.99,4096,6144,-0.3082677165354331,-0.3177165354330709,0.15,0.2,0.01
0.01,0.99,4096,4096,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.001,0.99,6144,75776,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.1,0.98,4096,4096,-0.25157480314960634,-0.26102362204724416,0.15,0.2,0.01
0.075,0.98,4096,4096,-0.25157480314960634,-0.26102362204724416,0.15,0.2,0.01
0.05,0.98,4096,4096,-0.25157480314960634,-0.25157480314960634,0.15,0.2,0.01
0.025,0.98,4096,4096,-0.25157480314960634,-0.26102362204724416,0.15,0.2,0.01
0.0125,0.98,4096,4096,-0.25157480314960634,-0.26102362204724416,0.15,0.2,0.01
0.01,0.98,4096,4096,-0.25157480314960634,-0.26102362204724416,0.15,0.2,0.01
0.001,0.98,6144,77824,-0.25157480314960634,-0.26102362204724416,0.15,0.2,0.01
0.1,0.97,4096,4096,-0.22322834645669293,-0.23267716535433075,0.15,0.2,0.01
0.075,0.97,4096,4096,-0.22322834645669293,-0.23267716535433075,0.15,0.2,0.01
0.05,0.97,4096,4096,-0.22322834645669293,-0.22322834645669293,0.15,0.2,0.01
0.025,0.97,4096,4096,-0.22322834645669293,-0.22322834645669293,0.15,0.2,0.01
0.0125,0.97,4096,4096,-0.22322834645669293,-0.22322834645669293,0.15,0.2,0.01
0.01,0.97,4096,4096,-0.22322834645669293,-0.22322834645669293,0.15,0.2,0.01
0.001,0.97,6144,83968,-0.22322834645669293,-0.22322834645669293,0.15,0.2,0.01
0.1,0.96,4096,4096,-0.19488188976377957,-0.19488188976377957,0.15,0.2,0.01
0.075,0.96,4096,4096,-0.19488188976377957,-0.19488188976377957,0.15,0.2,0.01
0.05,0.96,4096,4096,-0.19488188976377957,-0.20433070866141734,0.15,0.2,0.01
0.025,0.96,4096,4096,-0.19488188976377957,-0.19488188976377957,0.15,0.2,0.01
0.0125,0.96,4096,4096,-0.19488188976377957,-0.20433070866141734,0.15,0.2,0.01
0.01,0.96,4096,4096,-0.19488188976377957,-0.19488188976377957,0.15,0.2,0.01
0.001,0.96,6144,71680,-0.19488188976377957,-0.20433070866141734,0.15,0.2,0.01
0.1,0.95,4096,4096,-0.17598425196850398,-0.17598425196850398,0.15,0.2,0.01
0.075,0.95,4096,4096,-0.17598425196850398,-0.18543307086614175,0.15,0.2,0.01
0.05,0.95,4096,4096,-0.17598425196850398,-0.18543307086614175,0.15,0.2,0.01
0.025,0.95,4096,2048,-0.17598425196850398,-0.18543307086614175,0.15,0.2,0.01
0.0125,0.95,4096,4096,-0.17598425196850398,-0.18543307086614175,0.15,0.2,0.01
0.01,0.95,6144,65536,-0.17598425196850398,-0.18543307086614175,0.15,0.2,0.01
0.001,0.95,6144,63488,-0.17598425196850398,-0.18543307086614175,0.15,0.2,0.01
