epsilon,confidence_level,shots,grover_calls,VaR_theoretical,VaR_predicted,mu,sigma,alpha_iqae
0.1,0.99,4096,6144,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.05994842503189409,0.99,4096,4096,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.03593813663804628,0.99,4096,6144,-0.3082677165354331,-0.3177165354330709,0.15,0.2,0.01
0.021544346900318846,0.99,4096,4096,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.01291549665014884,0.99,4096,6144,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.007742636826811269,0.99,6144,63488,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.004641588833612782,0.99,6144,79872,-0.3082677165354331,-0.3177165354330709,0.15,0.2,0.01
0.0027825594022071257,0.99,6144,114688,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.0016681005372000592,0.99,6144,63488,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.001,0.99,6144,63488,-0.3082677165354331,-0.3082677165354331,0.15,0.2,0.01
0.1,0.9852631578947368,4096,4096,-0.2799212598425197,-0.2799212598425197,0.15,0.2,0.01
0.05994842503189409,0.9852631578947368,4096,4096,-0.2799212598425197,-0.2799212598425197,0.15,0.2,0.01
0.03593813663804628,0.9852631578947368,4096,4096,-0.2799212598425197,-0.2799212598425197,0.15,0.2,0.01
0.021544346900318846,0.9852631578947368,4096,4096,-0.2799212598425197,-0.2893700787401575,0.15,0.2,0.01
0.01291549665014884,0.9852631578947368,4096,4096,-0.2799212598425197,-0.2799212598425197,0.15,0.2,0.01
0.007742636826811269,0.9852631578947368,6144,77824,-0.2799212598425197,-0.2893700787401575,0.15,0.2,0.01
0.004641588833612782,0.9852631578947368,6144,77824,-0.2799212598425197,-0.2893700787401575,0.15,0.2,0.01
0.0027825594022071257,0.9852631578947368,6144,79872,-0.2799212598425197,-0.2799212598425197,0.15,0.2,0.01
0.0016681005372000592,0.9852631578947368,6144,75776,-0.2799212598425197,-0.2893700787401575,0.15,0.2,0.01
0.001,0.9852631578947368,6144,77824,-0.2799212598425197,-0.2893700787401575,0.15,0.2,0.01
0.1,0.9805263157894737,4096,4096,-0.26102362204724416,-0.26102362204724416,0.15,0.2,0.01
0.05994842503189409,0.9805263157894737,4096,4096,-0.26102362204724416,-0.26102362204724416,0.15,0.2,0.01
0.03593813663804628,0.9805263157894737,4096,4096,-0.26102362204724416,-0.27047244094488193,0.15,0.2,0.01
0.021544346900318846,0.9805263157894737,4096,4096,-0.26102362204724416,-0.27047244094488193,0.15,0.2,0.01
0.01291549665014884,0.9805263157894737,4096,4096,-0.26102362204724416,-0.26102362204724416,0.15,0.2,0.01
0.007742636826811269,0.9805263157894737,6144,81920,-0.26102362204724416,-0.27047244094488193,0.15,0.2,0.01
0.004641588833612782,0.9805263157894737,6144,92160,-0.26102362204724416,-0.26102362204724416,0.15,0.2,0.01
0.0027825594022071257,0.9805263157894737,6144,81920,-0.26102362204724416,-0.27047244094488193,0.15,0.2,0.01
