epsilon,confidence_level,shots,grover_calls,VaR_theoretical,VaR_predicted,mu,sigma,alpha_iqae
0.1,0.5,2048,0,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.06849213666863821,0.5,2048,0,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.04691172785435414,0.5,2048,0,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.032130844755623875,0.5,4096,12288,0.1452755905511811,0.1452755905511811,0.15,0.2,0.01
0.022007102102809865,0.5,4096,10240,0.1452755905511811,0.1452755905511811,0.15,0.2,0.01
0.015073134449063292,0.5,4096,14336,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.010323911847100017,0.5,4096,16384,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.0070710678118654745,0.5,4096,12288,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.004843125429634984,0.5,6144,104448,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.003317160088299166,0.5,4096,14336,0.1452755905511811,0.1452755905511811,0.15,0.2,0.01
0.002271993821195386,0.5,6144,182272,0.1452755905511811,0.1452755905511811,0.15,0.2,0.01
0.0015561371131161583,0.5,6144,192512,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.001065831558266921,0.5,6144,184320,0.1452755905511811,0.1452755905511811,0.15,0.2,0.01
0.0007300108075456554,0.5,6144,100352,0.1452755905511811,0.1358267716535433,0.15,0.2,0.01
0.0004999999999999999,0.5,6144,186368,0.1452755905511811,0.1452755905511811,0.15,0.2,0.01
