Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
0.0072732803673598,40960.0,0.0658179848546557,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0068156733291578,47104.0,0.0658685722628767,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0063868571790882,40960.0,0.0658116456931237,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.005985020504366,8192.0,0.0650580485062025,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0056084658593847,40960.0,0.065557157006198,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0052556025953357,47104.0,0.0660939702336761,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0049249401409621,53248.0,0.065853004220199,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0046150817060609,40960.0,0.0658495996566963,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0043247183811369,53248.0,0.0659410539971167,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0040526236082844,47104.0,0.0659731574417291,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0037976479999389,47104.0,0.0659456465671072,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.0035587144836146,34816.0,0.065875259246158,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.003334813752115,47104.0,0.0658960725447437,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
0.003125,40960.0,0.0658115750232635,,0.15,0.2,0.95,5,skewnorm,3,7.0,0.6
