Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
1.905140e-02,279,1.320624,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.933536e-02,295,1.252237,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.244797e-02,311,1.314021,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.384145e-02,329,1.277731,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.754225e-02,348,1.349115,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.173716e-02,368,1.333310,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.493083e-02,389,1.356503,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.136177e-02,411,1.240211,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.678184e-03,435,1.304251,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.588994e-03,459,1.293984,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.250702e-02,486,1.279066,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.094838e-02,513,1.322521,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.893083e-03,543,1.293680,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.603296e-02,574,1.357606,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.816348e-02,606,1.319736,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.771131e-02,641,1.329284,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.563977e-02,678,1.317212,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.036848e-02,716,1.311941,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.145831e-03,757,1.309718,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.765277e-02,800,1.273920,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.052414e-02,846,1.312097,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.215346e-03,894,1.299357,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.729251e-02,946,1.318865,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.841842e-02,1000,1.273154,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.501578e-03,1057,1.309074,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.801014e-02,1117,1.253562,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.300647e-02,1181,1.324579,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.417832e-03,1248,1.310990,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.431525e-03,1319,1.293141,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.629784e-03,1395,1.297943,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.271175e-03,1474,1.299301,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.435253e-02,1558,1.325925,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.570323e-02,1647,1.275869,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.087710e-02,1741,1.290695,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.894698e-02,1841,1.272626,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.156570e-02,1946,1.280007,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.192543e-02,2057,1.313498,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.856532e-02,2174,1.320138,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.365432e-03,2298,1.295207,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.113173e-03,2429,1.308686,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.285788e-02,2568,1.314430,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.947109e-03,2714,1.303520,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.836289e-02,2869,1.329935,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.852866e-03,3033,1.304425,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.878917e-02,3206,1.282783,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.316699e-02,3389,1.314740,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.100714e-03,3582,1.292472,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.794692e-03,3787,1.309367,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.961669e-03,4003,1.311534,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.876084e-03,4231,1.303449,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.735131e-03,4473,1.296837,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.905865e-03,4728,1.298667,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.521113e-03,4997,1.294051,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.131428e-03,5283,1.297441,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.837982e-03,5584,1.305411,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.272397e-03,5903,1.305845,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.404835e-02,6239,1.287524,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.431997e-03,6595,1.294141,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.883465e-03,6972,1.306456,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.481191e-03,7370,1.292091,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.415873e-03,7790,1.302988,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.300738e-03,8234,1.303873,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.424677e-03,8704,1.305997,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.173819e-03,9201,1.303746,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.595639e-03,9726,1.305168,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.415962e-03,10281,1.300157,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.037880e-02,10867,1.311951,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.545765e-03,11487,1.306118,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.889179e-03,12143,1.303462,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.286977e-02,12836,1.314442,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.772285e-04,13568,1.301195,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.880088e-03,14342,1.308453,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.453546e-03,15160,1.307026,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.869476e-03,16025,1.307442,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.757252e-03,16940,1.306330,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.154281e-03,17906,1.304727,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.161888e-03,18928,1.303734,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.602175e-03,20008,1.308175,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.887352e-03,21149,1.307460,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.407232e-03,22356,1.303980,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.313441e-03,23631,1.306886,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.216188e-04,24979,1.302094,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.221169e-03,26405,1.302794,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.863545e-03,27911,1.296709,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.549421e-04,29503,1.301728,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.640639e-04,31187,1.300909,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.841392e-03,32966,1.303414,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.097455e-03,34847,1.305670,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.387021e-03,36835,1.297186,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.622701e-05,38936,1.301659,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.739430e-04,41158,1.302247,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.210244e-03,43506,1.300362,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.618471e-04,45988,1.301111,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.272007e-03,48612,1.300301,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.609447e-03,51385,1.298963,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.175446e-03,54317,1.302748,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.968210e-03,57416,1.298604,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.257821e-04,60692,1.301447,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.706050e-03,64154,1.303279,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.917637e-04,67814,1.302164,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.787930e-03,71683,1.298785,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.136587e-03,75773,1.297436,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.465969e-04,80096,1.300826,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.237118e-03,84666,1.300335,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.610986e-03,89496,1.298962,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.651168e-03,94602,1.304224,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.379360e-03,100000,1.299193,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.200282e-03,105705,1.300372,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.682988e-03,111735,1.299890,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.022706e-03,118110,1.300550,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.619226e-04,124849,1.300811,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
7.880905e-04,131972,1.300784,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.750832e-03,139501,1.303323,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.304864e-03,147460,1.303877,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.007814e-03,155873,1.302580,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.303229e-03,164765,1.297269,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.023842e-03,174166,1.300549,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.347443e-03,184102,1.302920,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.302282e-03,194606,1.299270,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.563434e-04,205708,1.301929,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.434500e-04,217444,1.301916,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.021183e-05,229850,1.301633,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.189858e-04,242964,1.300954,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.009890e-03,256825,1.300563,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.768849e-03,271478,1.299804,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
