method,dist,var_alpha,queries,epsilon,alpha_fail,p_hat,true_p,error
classical,normal,0.1,10,,,0.1,0.09980771876604175,0.00019228123395825802
classical,normal,0.1,11,,,0.09090909090909091,0.09980771876604175,0.008898627856950836
classical,normal,0.1,12,,,0.08333333333333333,0.09980771876604175,0.01647438543270842
classical,normal,0.1,13,,,0.0,0.09980771876604175,0.09980771876604175
classical,normal,0.1,14,,,0.07142857142857142,0.09980771876604175,0.028379147337470323
classical,normal,0.1,15,,,0.13333333333333333,0.09980771876604175,0.033525614567291584
classical,normal,0.1,16,,,0.125,0.09980771876604175,0.025192281233958252
classical,normal,0.1,17,,,0.058823529411764705,0.09980771876604175,0.04098418935427704
classical,normal,0.1,18,,,0.16666666666666666,0.09980771876604175,0.06685894790062491
classical,normal,0.1,19,,,0.10526315789473684,0.09980771876604175,0.005455439128695089
classical,normal,0.1,20,,,0.1,0.09980771876604175,0.00019228123395825802
classical,normal,0.1,21,,,0.047619047619047616,0.09980771876604175,0.05218867114699413
classical,normal,0.1,22,,,0.09090909090909091,0.09980771876604175,0.008898627856950836
classical,normal,0.1,23,,,0.043478260869565216,0.09980771876604175,0.05632945789647653
classical,normal,0.1,24,,,0.041666666666666664,0.09980771876604175,0.05814105209937508
classical,normal,0.1,25,,,0.16,0.09980771876604175,0.060192281233958256
classical,normal,0.1,26,,,0.15384615384615385,0.09980771876604175,0.05403843508011211
classical,normal,0.1,27,,,0.0,0.09980771876604175,0.09980771876604175
classical,normal,0.1,28,,,0.10714285714285714,0.09980771876604175,0.007335138376815389
classical,normal,0.1,29,,,0.034482758620689655,0.09980771876604175,0.06532496014535209
classical,normal,0.1,30,,,0.1,0.09980771876604175,0.00019228123395825802
classical,normal,0.1,31,,,0.22580645161290322,0.09980771876604175,0.12599873284686147
classical,normal,0.1,32,,,0.03125,0.09980771876604175,0.06855771876604175
classical,normal,0.1,33,,,0.09090909090909091,0.09980771876604175,0.008898627856950836
classical,normal,0.1,34,,,0.08823529411764706,0.09980771876604175,0.011572424648394683
classical,normal,0.1,35,,,0.08571428571428572,0.09980771876604175,0.014093433051756032
classical,normal,0.1,36,,,0.08333333333333333,0.09980771876604175,0.01647438543270842
classical,normal,0.1,37,,,0.16216216216216217,0.09980771876604175,0.062354443396120424
classical,normal,0.1,38,,,0.07894736842105263,0.09980771876604175,0.02086035034498912
classical,normal,0.1,39,,,0.1282051282051282,0.09980771876604175,0.028397409439086446
classical,normal,0.1,41,,,0.17073170731707318,0.09980771876604175,0.07092398855103144
classical,normal,0.1,42,,,0.11904761904761904,0.09980771876604175,0.019239900281577293
classical,normal,0.1,43,,,0.09302325581395349,0.09980771876604175,0.0067844629520882604
classical,normal,0.1,44,,,0.06818181818181818,0.09980771876604175,0.03162590058422357
classical,normal,0.1,45,,,0.044444444444444446,0.09980771876604175,0.0553632743215973
classical,normal,0.1,47,,,0.0425531914893617,0.09980771876604175,0.057254527276680046
classical,normal,0.1,48,,,0.10416666666666667,0.09980771876604175,0.004358947900624924
classical,normal,0.1,49,,,0.02040816326530612,0.09980771876604175,0.07939955550073563
classical,normal,0.1,51,,,0.0784313725490196,0.09980771876604175,0.02137634621702214
classical,normal,0.1,52,,,0.1346153846153846,0.09980771876604175,0.03480766584934286
classical,normal,0.1,54,,,0.12962962962962962,0.09980771876604175,0.029821910863587875
classical,normal,0.1,55,,,0.03636363636363636,0.09980771876604175,0.06344408240240539
classical,normal,0.1,57,,,0.10526315789473684,0.09980771876604175,0.005455439128695089
classical,normal,0.1,58,,,0.15517241379310345,0.09980771876604175,0.055364695027061706
classical,normal,0.1,60,,,0.1,0.09980771876604175,0.00019228123395825802
classical,normal,0.1,62,,,0.06451612903225806,0.09980771876604175,0.035291589733783685
classical,normal,0.1,63,,,0.047619047619047616,0.09980771876604175,0.05218867114699413
classical,normal,0.1,65,,,0.09230769230769231,0.09980771876604175,0.007500026458349435
classical,normal,0.1,67,,,0.07462686567164178,0.09980771876604175,0.025180853094399963
classical,normal,0.1,69,,,0.08695652173913043,0.09980771876604175,0.012851197026911315
classical,normal,0.1,71,,,0.07042253521126761,0.09980771876604175,0.02938518355477414
classical,normal,0.1,73,,,0.136986301369863,0.09980771876604175,0.03717858260382126
classical,normal,0.1,75,,,0.10666666666666667,0.09980771876604175,0.006858947900624926
classical,normal,0.1,77,,,0.1038961038961039,0.09980771876604175,0.004088385130062155
classical,normal,0.1,79,,,0.12658227848101267,0.09980771876604175,0.02677455971497092
classical,normal,0.1,82,,,0.10975609756097561,0.09980771876604175,0.009948378794933863
classical,normal,0.1,84,,,0.14285714285714285,0.09980771876604175,0.0430494240911011
classical,normal,0.1,86,,,0.13953488372093023,0.09980771876604175,0.03972716495488848
classical,normal,0.1,89,,,0.07865168539325842,0.09980771876604175,0.021156033372783323
classical,normal,0.1,91,,,0.12087912087912088,0.09980771876604175,0.021071402113079132
classical,normal,0.1,94,,,0.031914893617021274,0.09980771876604175,0.06789282514902048
classical,normal,0.1,96,,,0.09375,0.09980771876604175,0.0060577187660417475
classical,normal,0.1,99,,,0.12121212121212122,0.09980771876604175,0.021404402446079468
classical,normal,0.1,102,,,0.11764705882352941,0.09980771876604175,0.017839340057487663
classical,normal,0.1,105,,,0.0761904761904762,0.09980771876604175,0.02361724257556555
classical,normal,0.1,108,,,0.17592592592592593,0.09980771876604175,0.07611820715988418
classical,normal,0.1,111,,,0.13513513513513514,0.09980771876604175,0.035327416369093395
classical,normal,0.1,114,,,0.12280701754385964,0.09980771876604175,0.022999298777817895
classical,normal,0.1,117,,,0.06837606837606838,0.09980771876604175,0.031431650389973365
classical,normal,0.1,120,,,0.08333333333333333,0.09980771876604175,0.01647438543270842
classical,normal,0.1,124,,,0.11290322580645161,0.09980771876604175,0.013095507040409862
classical,normal,0.1,127,,,0.07086614173228346,0.09980771876604175,0.028941577033758284
classical,normal,0.1,131,,,0.11450381679389313,0.09980771876604175,0.014696098027851379
classical,normal,0.1,134,,,0.08208955223880597,0.09980771876604175,0.017718166527235776
classical,normal,0.1,138,,,0.13043478260869565,0.09980771876604175,0.0306270638426539
classical,normal,0.1,142,,,0.1056338028169014,0.09980771876604175,0.005826084050859659
