method,dist,var_alpha,queries,epsilon,alpha_fail,p_hat,true_p,error
classical,normal,0.05,10,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,11,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,12,,,0.0833333333333333,0.0494379693798132,0.03389536395352
classical,normal,0.05,13,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,14,,,0.0714285714285714,0.0494379693798132,0.0219906020487581
classical,normal,0.05,15,,,0.0666666666666666,0.0494379693798132,0.0172286972868533
classical,normal,0.05,16,,,0.0625,0.0494379693798132,0.0130620306201867
classical,normal,0.05,17,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,18,,,0.0555555555555555,0.0494379693798132,0.0061175861757422
classical,normal,0.05,20,,,0.05,0.0494379693798132,0.0005620306201867
classical,normal,0.05,21,,,0.0952380952380952,0.0494379693798132,0.0458001258582819
classical,normal,0.05,23,,,0.0434782608695652,0.0494379693798132,0.005959708510248
classical,normal,0.05,24,,,0.0416666666666666,0.0494379693798132,0.0077713027131466
classical,normal,0.05,26,,,0.0769230769230769,0.0494379693798132,0.0274851075432636
classical,normal,0.05,28,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,30,,,0.1,0.0494379693798132,0.0505620306201867
classical,normal,0.05,32,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,34,,,0.0,0.0494379693798132,0.0494379693798132
classical,normal,0.05,37,,,0.027027027027027,0.0494379693798132,0.0224109423527862
classical,normal,0.05,40,,,0.1,0.0494379693798132,0.0505620306201867
classical,normal,0.05,42,,,0.0238095238095238,0.0494379693798132,0.0256284455702894
classical,normal,0.05,46,,,0.0434782608695652,0.0494379693798132,0.005959708510248
classical,normal,0.05,49,,,0.0408163265306122,0.0494379693798132,0.008621642849201
classical,normal,0.05,52,,,0.0576923076923076,0.0494379693798132,0.0082543383124944
classical,normal,0.05,56,,,0.1071428571428571,0.0494379693798132,0.0577048877630438
classical,normal,0.05,60,,,0.0666666666666666,0.0494379693798132,0.0172286972868533
classical,normal,0.05,65,,,0.123076923076923,0.0494379693798132,0.0736389536971098
classical,normal,0.05,69,,,0.0579710144927536,0.0494379693798132,0.0085330451129403
classical,normal,0.05,74,,,0.0135135135135135,0.0494379693798132,0.0359244558662997
classical,normal,0.05,80,,,0.0375,0.0494379693798132,0.0119379693798132
classical,normal,0.05,86,,,0.0348837209302325,0.0494379693798132,0.0145542484495807
classical,normal,0.05,92,,,0.0326086956521739,0.0494379693798132,0.0168292737276393
classical,normal,0.05,98,,,0.0204081632653061,0.0494379693798132,0.0290298061145071
classical,normal,0.05,105,,,0.0857142857142857,0.0494379693798132,0.0362763163344724
classical,normal,0.05,113,,,0.0176991150442477,0.0494379693798132,0.0317388543355654
classical,normal,0.05,121,,,0.024793388429752,0.0494379693798132,0.0246445809500612
classical,normal,0.05,130,,,0.0307692307692307,0.0494379693798132,0.0186687386105825
classical,normal,0.05,139,,,0.0359712230215827,0.0494379693798132,0.0134667463582305
classical,normal,0.05,149,,,0.0805369127516778,0.0494379693798132,0.0310989433718645
classical,normal,0.05,160,,,0.05,0.0494379693798132,0.0005620306201867
classical,normal,0.05,172,,,0.063953488372093,0.0494379693798132,0.0145155189922797
classical,normal,0.05,184,,,0.0489130434782608,0.0494379693798132,0.0005249259015524
classical,normal,0.05,197,,,0.0355329949238578,0.0494379693798132,0.0139049744559554
classical,normal,0.05,212,,,0.0566037735849056,0.0494379693798132,0.0071658042050923
classical,normal,0.05,227,,,0.0440528634361233,0.0494379693798132,0.0053851059436899
classical,normal,0.05,243,,,0.074074074074074,0.0494379693798132,0.0246361046942607
classical,normal,0.05,261,,,0.0421455938697318,0.0494379693798132,0.0072923755100814
classical,normal,0.05,280,,,0.0392857142857142,0.0494379693798132,0.0101522550940989
classical,normal,0.05,300,,,0.0433333333333333,0.0494379693798132,0.0061046360464799
classical,normal,0.05,321,,,0.0591900311526479,0.0494379693798132,0.0097520617728346
classical,normal,0.05,344,,,0.0377906976744186,0.0494379693798132,0.0116472717053946
classical,normal,0.05,369,,,0.056910569105691,0.0494379693798132,0.0074725997258777
classical,normal,0.05,396,,,0.0429292929292929,0.0494379693798132,0.0065086764505203
classical,normal,0.05,424,,,0.0566037735849056,0.0494379693798132,0.0071658042050923
classical,normal,0.05,455,,,0.0549450549450549,0.0494379693798132,0.0055070855652416
classical,normal,0.05,488,,,0.0491803278688524,0.0494379693798132,0.0002576415109608
classical,normal,0.05,523,,,0.0573613766730401,0.0494379693798132,0.0079234072932268
classical,normal,0.05,560,,,0.0446428571428571,0.0494379693798132,0.0047951122369561
classical,normal,0.05,601,,,0.0515806988352745,0.0494379693798132,0.0021427294554612
classical,normal,0.05,644,,,0.0527950310559006,0.0494379693798132,0.0033570616760873
classical,normal,0.05,690,,,0.0608695652173913,0.0494379693798132,0.011431595837578
classical,normal,0.05,740,,,0.0527027027027027,0.0494379693798132,0.0032647333228894
classical,normal,0.05,793,,,0.0378310214375788,0.0494379693798132,0.0116069479422344
classical,normal,0.05,850,,,0.04,0.0494379693798132,0.0094379693798132
classical,normal,0.05,911,,,0.0461031833150384,0.0494379693798132,0.0033347860647748
classical,normal,0.05,977,,,0.0368474923234391,0.0494379693798132,0.0125904770563741
classical,normal,0.05,1047,,,0.0506208213944603,0.0494379693798132,0.001182852014647
classical,normal,0.05,1122,,,0.0490196078431372,0.0494379693798132,0.000418361536676
classical,normal,0.05,1203,,,0.055694098088113,0.0494379693798132,0.0062561287082997
classical,normal,0.05,1289,,,0.0488750969743987,0.0494379693798132,0.0005628724054145
classical,normal,0.05,1382,,,0.0557163531114327,0.0494379693798132,0.0062783837316194
classical,normal,0.05,1482,,,0.0418353576248313,0.0494379693798132,0.0076026117549819
classical,normal,0.05,1588,,,0.0535264483627204,0.0494379693798132,0.0040884789829071
classical,normal,0.05,1702,,,0.0581668625146886,0.0494379693798132,0.0087288931348753
classical,normal,0.05,1825,,,0.0531506849315068,0.0494379693798132,0.0037127155516935
classical,normal,0.05,1956,,,0.0444785276073619,0.0494379693798132,0.0049594417724513
classical,normal,0.05,2097,,,0.0510252742012398,0.0494379693798132,0.0015873048214265
classical,normal,0.05,2247,,,0.0476190476190476,0.0494379693798132,0.0018189217607656
classical,normal,0.05,2409,,,0.0568700705687007,0.0494379693798132,0.0074321011888874
classical,normal,0.05,2582,,,0.0437645236250968,0.0494379693798132,0.0056734457547164
classical,normal,0.05,2768,,,0.0469653179190751,0.0494379693798132,0.0024726514607381
classical,normal,0.05,2967,,,0.0512301988540613,0.0494379693798132,0.001792229474248
classical,normal,0.05,3180,,,0.0418238993710691,0.0494379693798132,0.0076140700087441
classical,normal,0.05,3409,,,0.0533880903490759,0.0494379693798132,0.0039501209692626
classical,normal,0.05,3654,,,0.0552818828680897,0.0494379693798132,0.0058439134882764
classical,normal,0.05,3917,,,0.0520806739851927,0.0494379693798132,0.0026427046053794
classical,normal,0.05,4198,,,0.0464506908051453,0.0494379693798132,0.0029872785746679
classical,normal,0.05,4500,,,0.0457777777777777,0.0494379693798132,0.0036601916020355
classical,normal,0.05,4824,,,0.0476782752902155,0.0494379693798132,0.0017596940895976
classical,normal,0.05,5170,,,0.051063829787234,0.0494379693798132,0.0016258604074207
classical,normal,0.05,5542,,,0.0498015156983038,0.0494379693798132,0.0003635463184905
classical,normal,0.05,5941,,,0.0521797677158727,0.0494379693798132,0.0027417983360594
classical,normal,0.05,6368,,,0.0508793969849246,0.0494379693798132,0.0014414276051113
classical,normal,0.05,6826,,,0.0523000292997363,0.0494379693798132,0.002862059919923
classical,normal,0.05,7316,,,0.0462001093493712,0.0494379693798132,0.003237860030442
classical,normal,0.05,7842,,,0.0492221372098954,0.0494379693798132,0.0002158321699178
classical,normal,0.05,8406,,,0.0496074232690935,0.0494379693798132,0.0001694538892802
classical,normal,0.05,9011,,,0.0489401842192875,0.0494379693798132,0.0004977851605257
classical,normal,0.05,9658,,,0.0475253675709256,0.0494379693798132,0.0019126018088876
classical,normal,0.05,10353,,,0.0494542644644064,0.0494379693798132,1.629508459317225e-05
classical,normal,0.05,11097,,,0.0508245471749121,0.0494379693798132,0.0013865777950988
classical,normal,0.05,11895,,,0.0514501891551071,0.0494379693798132,0.0020122197752939
classical,normal,0.05,12750,,,0.0465098039215686,0.0494379693798132,0.0029281654582446
classical,normal,0.05,13667,,,0.0465354503548694,0.0494379693798132,0.0029025190249438
classical,normal,0.05,14649,,,0.0483309440917468,0.0494379693798132,0.0011070252880664
classical,normal,0.05,15702,,,0.0483377913641574,0.0494379693798132,0.0011001780156558
classical,normal,0.05,16831,,,0.0499673222030776,0.0494379693798132,0.0005293528232643
classical,normal,0.05,18041,,,0.0487777839365888,0.0494379693798132,0.0006601854432244
classical,normal,0.05,19338,,,0.0480918399007136,0.0494379693798132,0.0013461294790996
classical,normal,0.05,20729,,,0.0475662115876308,0.0494379693798132,0.0018717577921824
