method,dist,var_alpha,queries,epsilon,alpha_fail,p_hat,true_p,error
quantum,normal,0.05,0,0.1,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,0,0.0684921366686382,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,0,0.0469117278543541,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,12288,0.0321308447556238,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,10240,0.0220071021028098,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,14336,0.0150731344490632,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,16384,0.0103239118471,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,12288,0.0070710678118654,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,104448,0.0048431254296349,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,14336,0.0033171600882991,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,182272,0.0022719938211953,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,192512,0.0015561371131161,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,184320,0.0010658315582669,0.01,0.1452755905511811,0.1452755905511811,0.0
quantum,normal,0.05,100352,0.0007300108075456,0.01,0.1358267716535433,0.1452755905511811,0.009448818897637823
quantum,normal,0.05,186368,0.0004999999999999,0.01,0.1452755905511811,0.1452755905511811,0.0
classical,normal,0.05,10,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,11,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,12,,,0.08333333333333333,0.04943796937981328,0.033895363953520045
classical,normal,0.05,13,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,14,,,0.07142857142857142,0.04943796937981328,0.02199060204875814
classical,normal,0.05,15,,,0.06666666666666667,0.04943796937981328,0.017228697286853382
classical,normal,0.05,16,,,0.0625,0.04943796937981328,0.013062030620186717
classical,normal,0.05,17,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,18,,,0.05555555555555555,0.04943796937981328,0.006117586175742269
classical,normal,0.05,20,,,0.05,0.04943796937981328,0.0005620306201867195
classical,normal,0.05,21,,,0.09523809523809523,0.04943796937981328,0.04580012585828195
classical,normal,0.05,23,,,0.043478260869565216,0.04943796937981328,0.005959708510248067
classical,normal,0.05,24,,,0.041666666666666664,0.04943796937981328,0.007771302713146619
classical,normal,0.05,26,,,0.07692307692307693,0.04943796937981328,0.027485107543263644
classical,normal,0.05,28,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,30,,,0.1,0.04943796937981328,0.05056203062018672
classical,normal,0.05,32,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,34,,,0.0,0.04943796937981328,0.04943796937981328
classical,normal,0.05,37,,,0.02702702702702703,0.04943796937981328,0.022410942352786255
classical,normal,0.05,40,,,0.1,0.04943796937981328,0.05056203062018672
