method,dist,queries,epsilon,p_hat,true_p,error
classical,beta,10,,0.0,0.04887263610487469,0.04887263610487469
classical,beta,11,,0.0,0.04887263610487469,0.04887263610487469
classical,beta,14,,0.07142857142857142,0.04887263610487469,0.022555935323696735
classical,beta,16,,0.0,0.04887263610487469,0.04887263610487469
classical,beta,20,,0.1,0.04887263610487469,0.051127363895125316
classical,beta,23,,0.043478260869565216,0.04887263610487469,0.005394375235309473
classical,beta,28,,0.0,0.04887263610487469,0.04887263610487469
classical,beta,34,,0.08823529411764706,0.04887263610487469,0.039362658012772375
classical,beta,40,,0.05,0.04887263610487469,0.0011273638951253134
classical,beta,48,,0.0625,0.04887263610487469,0.01362736389512531
classical,beta,57,,0.03508771929824561,0.04887263610487469,0.013784916806629077
classical,beta,68,,0.0,0.04887263610487469,0.04887263610487469
classical,beta,81,,0.06172839506172839,0.04887263610487469,0.012855758956853702
classical,beta,97,,0.041237113402061855,0.04887263610487469,0.0076355227028128345
classical,beta,115,,0.06956521739130435,0.04887263610487469,0.02069258128642966
classical,beta,137,,0.08759124087591241,0.04887263610487469,0.03871860477103772
classical,beta,164,,0.036585365853658534,0.04887263610487469,0.012287270251216155
classical,beta,195,,0.035897435897435895,0.04887263610487469,0.012975200207438795
classical,beta,232,,0.05603448275862069,0.04887263610487469,0.007161846653746001
classical,beta,277,,0.018050541516245487,0.04887263610487469,0.030822094588629202
classical,beta,330,,0.03939393939393939,0.04887263610487469,0.009478696710935298
classical,beta,393,,0.06361323155216285,0.04887263610487469,0.01474059544728816
classical,beta,468,,0.0405982905982906,0.04887263610487469,0.00827434550658409
classical,beta,558,,0.05555555555555555,0.04887263610487469,0.006682919450680863
classical,beta,664,,0.043674698795180725,0.04887263610487469,0.005197937309693965
classical,beta,792,,0.05303030303030303,0.04887263610487469,0.004157666925428342
classical,beta,943,,0.043478260869565216,0.04887263610487469,0.005394375235309473
classical,beta,1123,,0.05520926090828139,0.04887263610487469,0.006336624803406701
classical,beta,1338,,0.04857997010463378,0.04887263610487469,0.00029266600024090844
