sample_size,run,var_estimate,abs_error
100,0,0.4955251806747588,0.0110102523961072
100,1,0.4890716929695441,0.0174637401013219
100,2,0.513574426842237,0.0070389937713709605
100,3,0.5026633962539203,0.003872036816945701
100,4,0.5122342583302472,0.005698825259381146
100,5,0.49942179664544606,0.007113636425419956
100,6,0.5349042161681764,0.02836878309731039
100,7,0.5298634409532286,0.023328007882362556
100,8,0.48637429296411266,0.02016114010675335
100,9,0.5471191941455299,0.04058376107466388
100,10,0.5595961033766303,0.053060670305764335
100,11,0.5318337372292024,0.025298304158336338
100,12,0.49281084109693435,0.013724591973931666
100,13,0.4988853196932827,0.007650113377583312
100,14,0.5459928723528409,0.03945743928197487
100,15,0.4972742354284913,0.009261197642374708
100,16,0.5282747344444408,0.021739301373574826
100,17,0.5055541910065807,0.0009812420642852926
100,18,0.5235439487749458,0.017008515704079796
100,19,0.4729161509063955,0.03361928216447052
133,0,0.5173498742055858,0.010814441134719743
133,1,0.4439483181179155,0.0625871149529505
133,2,0.5016719373744074,0.0048634956964586085
133,3,0.5228946535193707,0.016359220448504685
133,4,0.5277619748093719,0.02122654173850591
133,5,0.5325665305695915,0.026031097498725453
133,6,0.5252058850883937,0.018670452017527706
133,7,0.5054903470069636,0.0010450860639024118
133,8,0.5393037676085555,0.03276833453768946
133,9,0.5230988976464018,0.016563464575535813
133,10,0.4675255500691231,0.03900988300174291
133,11,0.4724581187289033,0.034077314341962706
133,12,0.5522099533359927,0.04567452026512664
133,13,0.48798729747167197,0.01854813559919405
133,14,0.5083558578256682,0.0018204247548021524
133,15,0.5499120003731798,0.04337656730231376
133,16,0.5212878734454042,0.014752440374538156
133,17,0.4642765960378517,0.04225883703301431
133,18,0.5076554506000597,0.001120017529193662
133,19,0.5419054944688848,0.03537006139801879
177,0,0.510802652321279,0.004267219250412957
177,1,0.5014288283176281,0.0051066047532378755
177,2,0.5356370101288341,0.02910157705796812
177,3,0.5238283568283549,0.01729292375748892
177,4,0.47963570314252724,0.026899729928338778
177,5,0.4869573128094663,0.019578120261399712
177,6,0.5222681233354994,0.01573269026463342
177,7,0.5140629813151684,0.007527548244302351
177,8,0.4891468134771805,0.01738861959368554
177,9,0.5088559685171032,0.0023205354462372263
177,10,0.5279076978188816,0.021372264748015568
177,11,0.5381287107503298,0.03159327767946374
177,12,0.4970763372143846,0.009459095856481414
177,13,0.4827917559347271,0.023743677136138897
177,14,0.5137857546265522,0.007250321555686168
177,15,0.4879521202519709,0.018583312818895137
177,16,0.49085098587065695,0.015684447200209062
177,17,0.5214783657757965,0.014942932704930523
177,18,0.5277751352109293,0.02123970214006332
177,19,0.4707450281205397,0.035790404950326316
237,0,0.48350723007401697,0.023028202996849045
237,1,0.5106051338528972,0.0040697007820311715
237,2,0.5204420491444942,0.013906616073628197
237,3,0.4947520235303854,0.011783409540480627
237,4,0.5002943751592303,0.006241057911635761
237,5,0.521655385641025,0.015119952570158968
237,6,0.5119056542109748,0.005370221140108766
237,7,0.5206989363874771,0.014163503316611092
237,8,0.5133418839545952,0.00680645088372922
237,9,0.5160511656709402,0.009515732600074212
237,10,0.5342144880146794,0.027679054943813397
237,11,0.5177783270919571,0.011242894021091132
237,12,0.5098764330602478,0.0033409999893817544
237,13,0.5224065988301814,0.015871165759315353
237,14,0.5011697053356329,0.005365727735233139
237,15,0.500272139576623,0.0062632934942430385
237,16,0.5316618436189137,0.02512641054804765
237,17,0.5015046237322719,0.005030809338594122
237,18,0.514608688462359,0.00807325539149295
237,19,0.533251389691005,0.026715956620139036
316,0,0.5153887945381247,0.00885336146725868
316,1,0.5056750122668304,0.0008604208040355887
316,2,0.5001612950182945,0.006374138052571476
316,3,0.501258026552088,0.0052774065187780606
316,4,0.49199285614016075,0.014542576930705264
316,5,0.5234938532917902,0.016958420220924197
316,6,0.49561310369032735,0.010922329380538665
316,7,0.5030814401814244,0.0034539928894415928
316,8,0.5170486591629342,0.010513226092068173
316,9,0.4980344284402553,0.008501004630610709
316,10,0.5077438453374373,0.0012084122665713126
316,11,0.5043016831168505,0.002233749954015485
316,12,0.512786653498071,0.00625122042720494
316,13,0.5153162588509123,0.008780825780046242
316,14,0.5113833888515552,0.004847955780689195
316,15,0.5113716190174843,0.004836185946618277
316,16,0.5172784251859285,0.010742992115062466
316,17,0.5386266880336716,0.032091254962805627
316,18,0.5133951253978716,0.006859692327005562
